Number of species	42
Number of genes	802115
Number of genes in orthogroups	700134
Number of unassigned genes	101981
Percentage of genes in orthogroups	87.3
Percentage of unassigned genes	12.7
Number of orthogroups	63779
Number of species-specific orthogroups	29033
Number of genes in species-specific orthogroups	164380
Percentage of genes in species-specific orthogroups	20.5
Mean orthogroup size	11.0
Median orthogroup size	4.0
G50 (assigned genes)	30
G50 (all genes)	26
O50 (assigned genes)	6755
O50 (all genes)	8583
Number of orthogroups with all species present	66
Number of single-copy orthogroups	0
Date	2023-10-05
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	60757	95.3	479155	68.4
'1	2402	3.8	129313	18.5
'2	323	0.5	32274	4.6
'3	144	0.2	20668	3.0
'4	66	0.1	12425	1.8
'5	40	0.1	9167	1.3
'6	13	0.0	3585	0.5
'7	13	0.0	4079	0.6
'8	4	0.0	1398	0.2
'9	4	0.0	1569	0.2
'10	6	0.0	2645	0.4
11-15	7	0.0	3856	0.6
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	29033
2	14132
3	4449
4	2045
5	1165
6	719
7	586
8	464
9	412
10	367
11	330
12	273
13	245
14	230
15	202
16	235
17	239
18	240
19	319
20	399
21	449
22	532
23	618
24	693
25	688
26	624
27	616
28	506
29	432
30	345
31	294
32	269
33	229
34	227
35	194
36	170
37	196
38	167
39	152
40	128
41	100
42	66
